YR,EMGO_HARV,CIP,SEASON
1985,7152,NA,NA
1986,5378,NA,NA
1987,3638,NA,NA
1988,NA,NA,NA
1989,3900,NA,NA
1990,5726,NA,NA
1991,4679,NA,NA
1992,4955,NA,NA
1993,4888,NA,NA
1994,3780,NA,NA
1995,4487,NA,NA
1996,4661,NA,NA
1997,3796,NA,NA
1998,4185,NA,NA
1999,3246,NA,NA
2000,3637,NA,NA
2001,3207,NA,NA
2002,3373,NA,NA
2003,NA,NA,NA
2004,3414,NA,NA
2005,2712,NA,NA
2006,4147,NA,NA
2007,3574,NA,NA
2008,3132,NA,NA
2009,4274,NA,NA
2010,3810,NA,NA
2011,2629,NA,NA
2012,NA,NA,NA
2013,3725,NA,NA
2014,NA,NA,NA
2015,NA,NA,NA
2016,1468,98,G
2017,2344,83,G
2018,9718,95,G
2019,5018,107,G
