strata,Year,Observer,Species,total,itotal,ibb,sing1pair2,flock,total.v,itotal.v,ibb.v,sing1pair2.v,flock.v,total.cov,itotal.cov,var.N,var.Ni,ibb.cov,var.Nib,sing1pair2.cov,var.Nsing1pair2,flock.cov,var.Nflock,total.area,total.area.var,density.total,density.itotal,density.ibb,density.sing1pair2,density.flock,layer.area,diff,M,total.est,itotal.est,ibbtotal.est,sing1pair2.est,flock.est,m,area
High,1985,RAM,BRAN,2,2,2,2,0,0.16,0.16,0.16,0.16,0,0.274104181953933,0.274104181953933,1550.72987431041,1550.72987431041,0.274104181953933,1550.72987431041,0.274104181953933,1550.72987431041,0,0,66.5757207070729,3.02812333330923,0.0300409815884655,0.0300409815884655,0.0300409815884655,0.0300409815884655,0,1458.90202237965,105.49763611,527.48818055,43.8268487936822,43.8268487936822,43.8268487936822,43.8268487936822,0,25,YKG
High,1985,RAM,CCGO,71,85,78,64,7,17.3066666666667,22.8333333333333,21.36,16.09,0.96,1.90188734820941,2.34739021198694,176994.984202906,230868.121497029,1.41936667459088,235271.381659014,0.973863810813354,180407.847381188,0.928023537396059,8464.0534213591,66.5757207070729,3.02812333330923,1.06645484639053,1.27674171750978,1.17159828195015,0.961311410830896,0.105143435559629,1458.90202237965,105.49763611,527.48818055,1555.85313217572,1862.64107373149,1709.24710295361,1402.45916139783,153.393970777888,25,YKG
High,1985,RAM,EMGO,182,202,104,84,98,169.876666666667,182.076666666667,18.9733333333333,14.4066666666667,131.91,2.31998159008158,2.97724786165208,1906522.95207451,2034434.35500637,3.63491361250772,159100.727125322,2.97764734093722,124187.879883594,-0.657665750855639,1488637.67248885,66.5757207070729,3.02812333330923,2.73372932455036,3.03413914043502,1.56213104260021,1.26172122671555,1.47200809783481,1458.90202237965,105.49763611,527.48818055,3988.24324022508,4426.51172816191,2278.99613727148,1840.72764933465,2147.51559089043,25,YKG
High,1985,RAM,GWFG,134,146,86,74,60,24.9066666666667,27.7233333333333,7.84,5.95666666666667,13.0833333333333,5.63054800729874,5.69599557086819,153820.936065038,183458.168132489,1.66281050162669,91147.2871347123,1.59736293805724,65170.2851727331,4.0331850692415,87714.3114072266,66.5757207070729,3.02812333330923,2.01274576642719,2.19299165595798,1.29176220830402,1.11151631877322,0.901229447653965,1458.90202237965,105.49763611,527.48818055,2936.39886917671,3199.3599619388,1884.55449812834,1621.59340536624,1314.80546381047,25,YKG
High,1985,RAM,SWANN,28,28,0,0,28,3.19333333333333,3.19333333333333,0,0,3.19333333333333,1.54420184417557,1.54420184417557,25764.0629587835,25764.0629587835,0,0,0,0,1.54420184417557,25764.0629587835,66.5757207070729,3.02812333330923,0.420573742238517,0.420573742238517,0,0,0.420573742238517,1458.90202237965,105.49763611,527.48818055,613.575883111551,613.575883111551,0,0,613.575883111551,25,YKG
High,1985,RAM,TAVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.5757207070729,3.02812333330923,0,0,0,0,0,1458.90202237965,105.49763611,527.48818055,0,0,0,0,0,25,YKG
High,1985,RAM,TUSW,269,344,222,147,122,175.94,232.69,90.0266666666667,38.5266666666667,98.4433333333333,17.20555154719,21.0469906972113,915376.81472509,1018181.66590004,11.3756046970343,507127.496733403,7.53416554701299,212243.22298356,9.67138600017698,775728.497918069,66.5757207070729,3.02812333330923,4.04051202364861,5.16704883321607,3.33454895631967,2.20801214675221,1.8324998768964,1458.90202237965,105.49763611,527.48818055,5894.71116275026,7538.21799251334,4864.78021609873,3221.27338633564,2673.43777641462,25,YKG
Low,1985,RAM,BRAN,4,4,0,0,4,0.30188679245283,0.30188679245283,0,0,0.30188679245283,-0.0626031488288396,-0.0626031488288396,16848.4161279759,16848.4161279759,0,0,0,0,-0.0626031488288396,16848.4161279759,205.547370004231,4.39927720046638,0.0194602343971498,0.0194602343971498,0,0,0.0194602343971498,7352.46381749913,347.00124843,1735.00624215,143.080669285095,143.080669285095,0,0,143.080669285095,53,YKG
Low,1985,RAM,CCGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.547370004231,4.39927720046638,0,0,0,0,0,7352.46381749913,347.00124843,1735.00624215,0,0,0,0,0,53,YKG
Low,1985,RAM,EMGO,88,98,48,38,50,13.1132075471698,16.1690856313498,5.16400580551524,3.28374455732946,4.82365747460087,0.161572404298745,0.171490119878635,758822.354385413,936363.129335826,-0.0870559780347058,299789.476287351,-0.0969736936145951,191063.143066141,0.25854609791334,273008.205504006,205.547370004231,4.39927720046638,0.428125156737295,0.476775742730169,0.233522812765797,0.184872226772923,0.243252929964372,7352.46381749913,347.00124843,1735.00624215,3147.7747242721,3505.47639748484,1716.96803142115,1359.26635820841,1788.50836606369,53,YKG
