Year,Region,Sub-region,Species Group,Species,Harvest Type,Spring Harvest,CIP (Spring),Summer Harvest,CIP (Summer),Fall Harvest,CIP (Fall),Winter Harvest,CIP (Winter),Annual Harvest,CIP (Annual),CI Low,CI High
2004,Gulf of Alaska-Cook Inlet,All subregions,Geese,Emperor goose,Birds,0,,0,,0,,,,0,,0,0
2004,Gulf of Alaska-Cook Inlet,Gulf of Alaska Villages,Geese,Emperor goose,Birds,0,,0,,0,,,,0,,0,0
2004,Gulf of Alaska-Cook Inlet,Cook Inlet,Geese,Emperor goose,Birds,0,,0,,0,,,,0,,0,0
2004,Bristol Bay,South Alaska Peninsula,Geese,Emperor goose,Birds,0,,0,,39.4,67.80%,,,39.4,44.40%,21.9,56.9
2004,Bristol Bay,Southwest Bristol Bay,Geese,Emperor goose,Birds,76.1,87.70%,0,,0,,,,76.1,60.70%,29.9,122.3
2004,Yukon-Kuskokwim Delta,All subregions,Geese,Emperor goose,Birds,678.9,27.00%,360.7,53.10%,111.6,65.60%,,,"1,151.20",24.40%,870.8,"1,431.70"
2004,Yukon-Kuskokwim Delta,Y-K Delta South Coast,Geese,Emperor goose,Birds,32.6,99.80%,0,,0,,,,32.6,93.00%,2.3,62.8
2004,Yukon-Kuskokwim Delta,Y-K Delta Mid-Coast,Geese,Emperor goose,Birds,628.7,28.50%,360.7,53.10%,20.3,89.00%,,,"1,009.70",17.90%,829,"1,190.30"
2004,Yukon-Kuskokwim Delta,Y-K Delta North Coast,Geese,Emperor goose,Birds,0,,0,,91.3,77.70%,,,91.3,44.50%,50.7,132
2004,Yukon-Kuskokwim Delta,Lower Yukon,Geese,Emperor goose,Birds,0,,0,,0,,,,0,,0,0
2004,Yukon-Kuskokwim Delta,Lower Kuskokwim,Geese,Emperor goose,Birds,17.7,122.90%,0,,0,,,,17.7,81.90%,3.2,32.1
2004,Yukon-Kuskokwim Delta,Central Kuskokwim,Geese,Emperor goose,Birds,0,,0,,0,,,,0,,0,0
